"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"pgl",11.1585070230098,10.8484278600552,10.7104077687239,11.200119346671,11.2073635777418,11.1439305324062,11.220939840908,11.0974459653567,10.8642231487447,10.956674038064,10.9719169668823,10.6752147201081,8.97033097951117,10.5225498151357,9.77772705324965
"hchA",12.5193086282007,12.2279267372426,11.9742987730762,11.6362025163031,11.6965369353688,11.5374824369109,12.1464367173641,12.1332119915109,12.1898025782979,12.2520234141913,11.8392151354887,11.5855940608649,10.5565954080921,11.702092090283,11.3490083963257
"plaP",10.6583931951958,10.4099890047797,10.3666086291393,10.9609174159453,10.8840277336277,10.8383498111819,10.5778036649756,10.5834331640281,10.2725470845089,10.2444758135935,10.7808005968977,11.271997986136,12.4761826611779,11.7927585920689,12.3557042869732
"hisL",11.8254500513217,11.3582091423525,11.9561445786022,10.6833992935779,11.2745638178029,11.2440381530762,11.1097149533997,9.63421102048422,11.3036830558553,11.313825250494,11.1250205344981,10.5060745888428,10.773408079658,10.9918267102675,9.94063259769964
"ccmH",7.00144436244219,7.31480347214199,7.69254470707104,8.14440750567224,8.72539685034631,8.57899363289869,7.4560856785708,7.98949877163391,7.25863398761849,7.39798260245177,7.68472929884925,7.82461619303055,7.69790385039105,8.05800716484708,8.25423289192838
"fruK",9.34362319734405,9.77607264893312,11.1022105084088,9.21435568517497,10.1349202985142,9.87481046476817,9.43638474408697,10.0643409007552,9.38401312439954,10.6015526596743,12.0143567602915,12.3043247933461,11.2548706768855,11.0998490448145,11.6714322307861
"fruB",8.68140931212342,8.63057048769908,10.3258812202047,8.64889639286957,9.11925609419005,8.99799240395253,8.75359831444139,9.31552060167475,8.48714311357784,9.88546405755677,11.153438947297,11.5365174482558,10.6517818118045,10.3711450558269,11.2059218702337
"nuoE",12.1593653859874,11.5786170576859,12.2901780420716,12.2064408039944,12.447836977806,11.7094983564454,12.2065246379088,11.5418301827678,11.8116993949791,11.3174199264076,12.6192975737439,13.0618326219975,13.2831841848999,12.6015334590781,13.165302651582
"nuoF",10.9073415218562,10.0961664653712,11.2380813775361,11.1298469903502,11.4166884575836,10.7475258675181,10.9797804517743,10.6945815121081,10.4455419272461,10.0845619166346,11.8257042881634,12.3533650570131,12.2328392497783,12.0240005884482,12.4688325822144
"nuoG",9.62314515448358,8.37210025676023,10.8615092015257,9.67421419962331,10.1186896566591,9.86881240934552,9.38113667224241,9.15138607727379,8.69363486526418,9.34247245451606,11.2386423591015,11.4688932219574,11.6382846265669,11.1879472711941,11.7860969082531
