"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"1763167_s_at",11.122221228652,10.7970489807738,10.9993129443906,10.9823690332894,10.7989949928735,10.9549218093254,11.0309489552531,10.7478996232243,10.7505902213206,10.8394348455772,10.7933149336109,10.2494479560306,9.53982479246852,11.0051243024476,9.32312111060617
"1763111_s_at",11.6967917351499,11.5306648773964,10.7330904303803,11.8437589311551,11.9589135201125,11.6207583382587,11.8430074916454,11.613046163947,11.6074381426927,11.0004719285194,9.92264784239511,10.0359000128387,9.83190555205079,10.1350054308269,11.6769019308024
"1767226_s_at",7.64400161983609,7.02510438537416,7.90703208805892,7.28233776551795,7.69140317434148,7.78120352548454,7.52706465936578,7.54884805176232,7.82718513742055,7.78172928286787,8.04719690015884,7.69859020368265,6.75324191464839,7.46246650355248,7.92335893881846
"1760525_at",6.60995824270859,7.90339755141949,6.94189642347156,6.35773187169206,6.97865346066886,6.89242813155246,6.86509081791704,6.43729024724746,6.5143846204914,6.91727671328822,6.99510584524849,6.78833349861155,8.52462589403474,6.80509969659935,6.49568106662861
"1759937_s_at",8.35615597251319,8.23921226929287,8.35249962319337,8.70742426667225,7.89868953073892,8.00947791943262,8.45317019543208,8.60096140042542,8.74600216523352,8.25329845139441,8.0970826948925,8.5853503168966,8.58681097342992,7.87515308626555,8.6064605936219
"1760855_x_at",7.39689710598272,7.75551866108195,7.62858848064022,7.15467062198985,7.62516239647525,7.17441851546478,7.33513356651409,7.04777730125789,6.57373161511584,7.31953941487453,7.31953941487453,7.05878437437128,8.69549460360764,7.63390242015488,7.00086196988818
"1759215_s_at",8.26641180181911,7.23515543298038,7.6021409826459,7.96651079488871,8.2230702283384,8.06355334473477,7.99357454510788,7.77071157616779,7.77071157616779,7.71689345652807,7.70211842326022,7.53652860535205,6.90988283953706,7.4109758620183,7.67233676661138
"1762113_s_at",6.57339019383867,6.21479275418991,6.42200273861924,6.89848884808125,7.00104051732796,6.86600749204824,7.02287925086565,7.21882639522684,6.96838850492176,6.55448176406473,6.76781915596282,6.89333883590748,6.2920996622757,6.71692278845649,6.9231300342805
"1764436_s_at",9.35255057381893,9.08910399932907,9.3706667440069,9.58045028593407,9.69243107309039,9.39553581635626,9.48531483242432,9.20637367325541,9.15063292658403,8.9916186920276,9.54095852588101,9.8838652146772,9.63749372960231,9.73639834523796,9.75532639661313
"1761880_s_at",10.3154022800238,9.8349821185429,10.0654456079514,10.3650271530526,10.3002081189129,10.3447351715456,10.3429194343272,10.4337489172647,10.1046969023942,9.92631122514617,9.96992255790617,9.87608314644461,8.70263963969288,10.362269932285,9.52797583640361
"1762699_at",8.06510303540391,8.35070330357935,8.58305773068893,8.57181893169457,8.4717516379895,8.9349533059669,7.48402903586454,8.36014533929326,8.14865687608622,8.47401062318214,8.83466594968121,8.95094124544357,9.13153382964382,9.18103956569402,9.07934963844822
"1762990_s_at",9.73810208932191,10.2227445144092,10.0648239972365,9.67982759174182,12.3618211337647,9.98084611870244,9.8011974005873,9.88052633514168,10.2995690249389,10.1647145525861,10.1647579265332,10.7349678482267,11.2445822446415,10.4728686416772,11.3653793344254
"1762117_s_at",8.81621925755934,8.66710882657663,8.8968935927527,9.06377333998365,10.5956386547949,9.25632344486069,8.88724387233105,9.23229197365126,8.87216717360523,8.63447026139782,8.45887655967837,8.63887691923406,7.9742836429282,8.47610282224051,8.55059245881701
"1767904_s_at",9.8292364297463,9.34224800339475,9.72840425992584,9.95832231445453,9.73761373382611,9.90909713508796,9.76030320516542,9.73565400552161,9.42802216143018,9.62904338363117,9.93070777665783,9.8557746084926,8.77270951169885,10.0578671228852,9.46709501304352
"1767055_x_at",7.81073843816157,8.00954446115423,7.89346684514447,7.46563140949566,7.84563378968952,7.38266352383873,7.56924858074941,7.15258612026709,6.88719739819915,7.59154805382461,7.73958802719141,7.24640027999523,9.05484850502331,7.93105112665328,6.90815760080909
"1766579_s_at",9.91303750695697,9.73293669209767,9.74369983409777,10.0571884751218,10.002610505581,10.0929885546164,9.9731990017878,9.91120445543611,9.47840719444786,9.59256718938708,9.56556304172492,9.56456715324724,9.0812813982361,9.87684615187308,9.43653837041409
"1767232_at",6.59309993768533,6.89727972236185,6.68985978755329,6.03239407664453,6.34971900266859,6.34971900266859,6.19677140216151,6.13902083535536,6.25268275105088,6.73111798436667,6.43262480168992,6.23615073038431,7.49464056709165,6.61818903850535,6.16423113347821
"1765146_x_at",8.14621426775461,8.90595239378858,8.76099381589761,8.10583687831043,8.6727975785304,8.91110965142273,8.23243661069255,8.5538615586622,8.82885071098972,9.09357345963272,9.04452829720515,8.5887422539082,9.26944686932909,8.52387130106868,8.60230628816514
"1759265_s_at",9.87138283250863,9.63271749624385,9.73673562792507,9.77466847564489,9.53906407313678,9.97616438650686,9.74732539298535,9.89576146099649,9.4610297548095,9.9754876877061,9.81954653898757,9.20920567351432,8.69046669879834,9.8015928972191,8.44295241976727
"1768661_s_at",6.66992409702574,6.30682142851911,6.53406491434465,6.94276934102394,6.63247675778822,6.78597344905629,6.70144135214055,7.06053616162309,6.95901933596612,6.46804076515546,6.75361346856157,7.02943281647414,5.77849974486571,6.7131461217439,7.16099945147924
"1766768_s_at",11.7277203676459,11.6836013576789,11.5303055192899,10.7312660818419,11.3153168597441,11.419595805193,10.7136689279669,10.8794457904642,11.1351495224946,11.0666695044003,11.2092752043372,10.6104573978446,10.9846001690238,11.051641111287,9.60551393964482
"1765508_s_at",7.20744589818675,6.74869565350147,7.08387921378316,7.53070355352113,6.99252830939338,7.27901135785817,7.26604224020035,7.85223493772746,7.7543242880562,7.23788635758798,7.10695267276848,7.51904459783613,6.79930927862957,7.28388718370637,7.55044261708549
"1769019_s_at",12.1489594457821,11.9405746268687,11.5250537031253,12.3208304876313,12.1954913741205,11.7330110874606,12.1326396063303,11.858379756204,11.9869972048193,11.3985114907791,11.8597986056847,12.3771369887575,12.4298056513949,11.2239598804436,13.0043533050762
"1767194_s_at",6.88385024296069,6.94784798309195,6.66914524424493,7.53962292432599,6.74463919619378,6.83099446236244,7.33061802388518,7.62652963386755,7.53953234706984,6.94438934399205,6.75161007169743,7.3079576436652,6.96729201951008,6.75446404640028,7.42105530229297
"1765579_s_at",7.76591860293747,7.9385345966154,8.13331372575651,8.0635728629899,7.51666631108298,7.57603012269122,7.94322009536437,8.32654938611888,8.10501566877855,7.98059497144358,7.83491313245168,8.34510956461565,7.97267342471851,7.66307554072562,8.28690867898745
"1762415_s_at",10.3291277236301,10.0897890596615,10.3778115636546,10.7736075864306,10.6925476615909,10.4488344623442,10.5078170832847,10.6377712821509,10.358193797334,10.5034223998218,10.8219237284448,11.1111672549837,10.9333692824483,11.1468980679046,11.5182470567373
"1765262_s_at",11.2180073956528,10.633395647967,11.0043749661171,11.1222627261063,11.2595399153116,11.0606126705342,11.057740863779,10.6756919035223,10.8248773046192,11.0901771869148,11.3451977398416,11.370362056463,11.5900752646596,11.5946801724492,11.7251131561225
"1764239_s_at",10.8466350982543,10.3359880529525,10.4123772487899,11.393137732662,11.4634956577625,11.0840083137157,11.1512674820577,10.9363598027385,10.790561655748,10.5981189926423,10.6734644101506,10.6827117919299,10.4748196675507,10.7129045508296,11.3494772952959
"1764265_s_at",7.44617630701745,7.27211585350273,7.42077237705904,8.18421408140388,7.47800446779394,7.85615755638404,7.79444462818771,8.46247144414834,8.10398530272956,7.37897394791007,7.79202581454471,8.17273052670523,7.3711268785234,7.97952489132861,8.17329715901521
"1768347_at",7.46523690829515,8.13551465296435,7.64121808196914,7.00611563230663,7.48611329619002,7.52612672073783,7.42942953367465,7.4129466706231,8.13832916523707,7.92885172314469,7.50691465562484,7.19692118385066,9.02562791575635,7.44579151940913,7.47891330699428
"1765229_s_at",9.80840461564474,9.36917673718245,9.12375864471361,10.1467457772051,10.1986846051877,9.62382035169238,9.94167202096729,9.71731370565449,9.39587757038671,9.13175239133637,9.80840461564474,10.4180066769791,10.7929925490433,9.75583030404666,11.4108335772067
"1760534_s_at",10.9279188097676,10.4006813266446,10.1808127355165,11.19981282533,11.239396946845,10.8952193722823,11.0445366675841,10.6934166412174,10.6469926623646,10.3042624386008,10.3948562095223,10.5485090698961,10.6533537955827,10.6070683900296,11.0147240262469
"1767038_s_at",10.9224168121887,10.5386186613209,10.7078244773654,11.0820809914012,11.0983936666659,10.9591374214972,10.8321903668854,10.8135399019909,10.6271386233715,10.9119343245588,11.2535813749528,11.2088953747731,10.9923367188016,11.4939494191002,11.7097334453261
"1764061_s_at",11.3845654873752,10.9465361145647,10.7806492598976,11.778262011418,11.8535581956923,11.520655594583,11.5719400706152,11.2286627459618,11.0132036406781,10.8593327501177,11.1879288709985,11.4788725509063,10.7680545271071,11.0153001346873,11.5384985319011
"1766583_s_at",12.925377064034,12.9232771200311,13.3916806326612,12.8851113124366,12.8524475447198,12.9869967867804,12.8361134057317,12.9492900733284,12.819478830495,13.1141619059388,13.5425718982613,13.5514229749546,13.8066625648181,13.639377156908,13.9081559096945
"1762483_s_at",11.416584055105,11.1335459682501,10.0620706063392,11.6112687939901,12.038160700838,10.9753767365408,11.6225448970558,11.3867582283463,11.2920035864091,10.5312267628735,10.0724756222416,10.0916798966648,8.36675294317388,9.83294695465665,11.6064956608504
"1763018_s_at",11.8011603529475,10.9939504346147,10.8848333258817,11.7176970001935,11.8553361145817,11.4634355565573,11.5518795251839,11.1028582671174,11.2059461706029,10.9643873436605,11.0201440771725,10.9677891750879,10.716529474723,10.884622011732,11.4413541689674
"1759615_s_at",10.8868594348443,10.4470263976149,10.1963300423383,11.3789967855375,11.4513876063413,11.0200888732313,11.0374756913458,10.8222713866332,10.6523974451676,10.3059062674132,10.6048208484929,11.1260976631904,10.849160736776,10.3172728438923,11.4649509037787
"1759922_s_at",11.0784149275607,10.5669575306941,10.3830666382561,11.624245082724,11.6990297136972,11.1540369656884,11.2193271675926,10.7991746334251,10.7144649762951,10.0700303525351,11.1961485248311,11.6598063825547,11.360053899762,11.1153443391869,11.7647169920715
"1767179_s_at",10.7113737947345,10.3916156192595,10.5535206678747,10.9677554821346,11.0670946517751,10.9677554821346,10.6180860750834,10.5589210937418,10.4417709544479,11.1148014893106,11.7019772176905,11.5248348007673,11.7207221836034,11.6928287997074,11.7179977369405
"1767514_s_at",9.9812884581031,8.72096428370272,9.64999386001319,10.0322632629932,10.3024423152645,9.66008215372011,9.83727857964687,8.78851991311487,9.06849316905709,8.99592852328286,10.2102663486769,10.069274184125,9.94978158980244,10.1940706384263,10.4395218351042
"1764003_s_at",11.6649489045261,11.2055461710994,11.0150310065892,12.0528217810064,12.0905632337913,11.6194257285497,11.8029159198522,11.5684794637767,11.5077618705525,10.9778466937625,11.4201952781366,11.5662178560081,11.7255805444095,11.2337281663471,12.256922074501
"1759538_s_at",9.32656001747545,9.23164507560825,8.83939849545001,9.68272029021116,9.96115818472783,9.23540015641053,9.51815142200338,8.96681768186551,8.98035757300763,8.8381979228253,8.75426051623043,9.03560851744125,9.69632682285679,8.69292896289458,10.6021054145006
