"","control1","control2","control3","benz1","benz2","benz3","chlorhex1","chlorhex2","chlorhex3","perox1","perox2","perox3","tric1","tric2","tric3"
"1759088_s_at",9.39833723445392,9.09033461340447,8.97008678246077,9.92164550524336,10.0416971409431,9.78610306625182,9.65203656004885,9.45318707932733,9.37440686892066,9.18228784705789,9.07292366621476,9.25149006247822,9.7486260256128,9.53357784462126,10.924094306146
"1759089_s_at",6.5365639343346,6.35525598561343,6.48600486833467,6.85272160511789,6.45065749124375,6.50299049301899,6.66064968445963,6.97138844622981,7.03677170952747,6.52619381381204,6.58037005694526,6.94187877972219,6.47559893050468,6.34932533938087,7.22802709742449
"1759090_at",6.12432513939207,6.61868017679905,6.24281324928208,6.09501801487563,6.02960323598305,6.00120796076369,6.09501801487563,5.89752912539924,5.9604549786745,5.99401631321882,6.02153822463219,6.09501801487563,6.4702008414093,6.35778028012134,6.00991333364462
"1759091_at",6.25165221516239,6.41089173855149,6.39207895156651,6.10176946290478,6.24753892825059,6.31506429181499,6.17914821838113,6.12824667916475,5.97115259827268,6.34567779582935,6.27390201841831,6.25165221516239,6.44338011663696,6.31626125451283,6.17789384307991
"1759092_s_at",8.20711169341143,8.11035362619287,8.08988863075237,8.19906822139029,8.19832179078201,8.3074785317067,8.10512931273214,8.30504619269542,8.19401044574308,8.04716118897817,8.05241594610274,7.7896811508126,7.98006157630021,8.01129899766703,7.7811338471304
"1759093_s_at",6.21589411754401,6.38020510074089,6.43771763909054,6.24585695429045,6.3721643997864,6.29879335901092,6.22694912631318,6.23893819280622,6.43193757665029,6.31203321696887,6.31203321696887,6.2452465482903,6.41174034507081,6.32797433812629,6.33468910945851
"1759094_s_at",6.08143891942846,6.36691653121619,6.24488050003847,6.19820625237592,6.19820625237592,6.15421822439334,6.12258802530597,6.14351545389882,6.2763697096718,6.2480423992925,6.31967699823646,6.04944751487308,6.48949866737123,6.14473070749084,6.23299674589357
"1759095_s_at",7.11981988044456,7.24580271752842,6.72715348524993,7.15713350326262,7.06700952681235,6.68125591736408,7.24552488765153,7.21181679822684,7.05827764854227,6.91123351908108,6.66932031113906,7.0442231027341,7.44822584779414,6.82772469591647,7.19017194815707
"1759096_at",11.048347961553,11.2838485145047,11.6791676454766,11.0861692318591,10.7560768415393,10.9895998946207,11.1636704105685,11.3631883270243,11.0850480188373,11.3683233715619,11.9570701340053,12.1282148387395,11.6217751019771,11.1731631653184,11.7643611795609
"1759097_at",13.1181465048855,13.0538011828284,12.9962453026618,13.0297266964995,12.9040432842868,13.0922994236984,13.0626615529702,13.0587758768993,13.0025184407447,13.0118787009402,13.0025184407447,12.8031615331737,12.6474412110171,13.0915610093173,12.4894454660352
"1759098_s_at",6.2216737313203,6.51478539845898,6.37239081515749,6.05483433717792,6.32899224091098,6.11251402178207,6.04574174506943,5.99385331166421,5.8398730722601,6.1843009250499,6.13231985318355,6.09012139864223,6.79833171483132,6.35746856556077,5.98727369895103
"1759099_at",6.61019693205469,6.98783216902517,6.73116554861336,6.33893542310903,6.60356000160885,6.62509523586619,6.59668239765343,6.45200250067306,6.78269643418985,6.78269643418985,6.62572648370186,6.54268134035375,7.39383661219447,6.59007256870553,6.55970221345633
"1759100_s_at",6.16713964309944,6.6613558266781,6.17311216706803,6.11458480335668,6.38179514497345,6.23386488895229,6.09049088849582,6.32093609750322,6.05551149262268,6.17311216706803,6.31188098157681,6.09501801487563,6.81324523475289,6.17311216706803,6.08838337979755
"1759101_s_at",5.93261122637829,6.02461147522988,6.02873617857662,5.92184727496032,5.96843095465169,5.97529772478312,5.83176083873873,5.96843095465169,5.99367790813272,6.00121571549202,5.96843095465169,5.94542389376341,6.06359232276367,6.06957820866836,5.90452626951133
"1759102_s_at",11.711564120717,11.6887827845488,11.688784300737,12.0313589751211,12.0411006976495,11.9656565763129,11.8253471982387,11.8371454973462,11.6086653568826,11.6542461344921,11.5748711806028,11.4839909124356,11.5280977853212,12.0095558099996,12.0833923020943
"1759103_s_at",6.13115633402165,6.30314512962526,6.08394667420528,6.10252701407296,6.12686260587043,6.08888034817333,6.03575283527857,6.05931435524394,5.84574111113179,6.30446071522407,6.08888034817333,5.9444524898001,7.1101649701062,6.1077842379286,5.8343608984997
"1759104_at",9.08538365721978,8.68510001690193,8.80213164199144,9.02689826173094,8.7412939327536,8.95023977458477,8.99851046510634,9.17990515773896,9.01156189494127,8.95182484616865,8.78176961449158,8.74133207273449,8.14762406260705,8.88019931824498,8.59800269851302
"1759105_s_at",10.5942658877772,10.4731479505659,10.8876995599221,11.0142884804456,10.9413399846088,11.0438978849227,10.7725785786967,10.8723042961152,10.93265636795,10.9232814525822,11.3549631059715,11.4085260321632,10.7673402264583,10.9825663932406,11.1829174613087
"1759106_s_at",12.5419737598627,12.6256626786713,12.5104598157764,12.8155223154619,12.7528674884006,12.6642461609109,12.6887592762528,12.6858546638501,12.6210627795293,12.5000938254131,12.554619660855,12.594526810107,12.619687896555,12.7665821962485,12.8347971580084
"1759107_s_at",10.7376248186831,10.5694503803722,10.5942718601419,11.0777545760058,10.884341056148,10.7895676911431,10.6782450427927,10.9748154132281,10.5401952192553,10.5645366928382,10.8559102691823,11.0406980465361,10.8609311808277,10.9109037689576,11.4378852288281
"1759108_s_at",10.9541948386845,10.8793996738946,10.9618190316753,11.2269042441282,11.319703853126,11.3545993123016,11.0340168068597,10.9886982778439,10.9022074085619,10.9630123137998,11.1284469409616,10.9193268005805,10.1160334589802,10.9017733475756,10.9210064708766
"1759109_s_at",10.4834425670621,10.3142183631315,10.473569576317,10.4606310798805,10.4766135193631,10.4511009734278,10.4113052557167,10.2966868364514,10.2253795491853,10.4492694501541,10.7057091190015,10.8904377207692,10.7119710093813,10.8431305603248,11.1972438501392
"1759110_s_at",12.5423866885606,12.5354035147677,12.5224940605716,12.4795265288553,12.4795265288553,12.5281917756834,12.6073081071672,12.5071988817457,12.6309639642337,12.4645636598719,12.2785608406862,12.2095227652485,12.1056500315686,12.4592910076775,12.4173829411014
"1759111_at",13.10889040268,13.1688706599703,13.2289163785523,13.1209970136073,13.11829150059,13.1208537267886,13.1844821041543,13.1203450855441,13.1792504281087,13.1848190920659,13.0270882638227,12.8706632139501,12.8938753844816,13.2366099648966,12.7951846005375
"1759112_at",8.16831467072609,7.70646166738506,8.40034122712424,8.65960220077205,8.51720289315858,8.72330040717269,8.36092691457727,8.55379204375983,8.0153932872974,8.54530991524154,8.86028040392927,8.91957876395958,7.98404725043542,8.94182675890274,9.56615320042605
"1759113_s_at",7.92384624701846,8.36443549072449,7.9704641863958,7.4946800653361,7.85409418702296,8.2185378030218,7.90837805962215,7.4864239249859,7.84645867262477,7.67402516411779,7.85644561623478,7.65623465343852,7.69643276365162,7.42313297798269,7.65301020392927
"1759114_s_at",7.82464967592533,6.98035158019986,7.38271376126018,8.16949246957692,8.01057863248873,8.04255846005135,7.94036392266807,7.99134159099471,7.71595735248105,7.41478442976759,7.46595865505563,7.50045755872449,6.90307239197335,8.29103135909656,8.35648174713609
"1759115_s_at",7.39381753806532,7.6631453400767,7.44661939773286,7.68156635066213,7.52459340553954,7.59094958925912,7.45122559685473,7.94021098983265,7.39145886190096,7.59094958925912,7.64802530378906,7.82385097577988,7.59094958925912,7.77538634766852,7.55263008595835
"1759116_at",10.6800184552038,10.4642833206829,10.6089239905477,10.5708889268742,10.4461282714394,10.7239314198071,10.5774972764975,10.6132091800074,10.4555798790703,10.6229989389043,10.6794974326872,10.5462419351374,9.57534932348551,10.8773946470547,9.74829769419392
"1759117_s_at",9.36420121890022,8.91635322943626,9.53602267669904,9.47093953645181,9.69722079466816,9.64827914633232,9.34393931326948,9.27395415396927,9.26706510526699,8.72700156117698,9.63304137578556,10.0171713447065,10.5092422983232,9.774200974893,11.1909656827172
"1759118_s_at",6.36680130562768,6.70651263591732,6.38816829835757,6.28728120394419,6.7087856036345,6.42778046929236,6.31899931552219,6.16867036821731,6.07737584582976,6.48053684408047,6.3846667138812,6.28283582333016,7.11911749584448,6.55335655403147,6.1429466582136
"1759119_s_at",5.80683144861025,5.99358789343188,6.00607146959678,5.87576072273717,5.92995087343027,5.97300905738254,5.90814473585011,5.90120855876828,6.00569228287078,5.94302606426751,5.95102600644601,5.94019838638772,6.04928534336491,6.06124517954775,5.93100843852669
